date,value
1991/7/1,3.526591
1991/8/1,3.180891
1991/9/1,3.252221
1991/10/1,3.611003
1991/11/1,3.565869
1991/12/1,4.306371
1992/1/1,5.088335
1992/2/1,2.81452
1992/3/1,2.985811
1992/4/1,3.20478
1992/5/1,3.127578
1992/6/1,3.270523
1992/7/1,3.73785082
1992/8/1,3.55877609
1992/9/1,3.77720173
1992/10/1,3.92449042
1992/11/1,4.38653092
1992/12/1,5.81054917
1993/1/1,6.19206769
1993/2/1,3.45085699
1993/3/1,3.77230686
1993/4/1,3.7343029
1993/5/1,3.90539892
1993/6/1,4.04968714
1993/7/1,4.31556552
1993/8/1,4.56218455
1993/9/1,4.60866203
1993/10/1,4.66785129
1993/11/1,5.09384145
1993/12/1,7.1799622
1994/1/1,6.73147308
1994/2/1,3.84127758
1994/3/1,4.39407557
1994/4/1,4.07534073
1994/5/1,4.5406449
1994/6/1,4.64561508
1994/7/1,4.75260653
1994/8/1,5.35060467
1994/9/1,5.20445484
1994/10/1,5.3016513
1994/11/1,5.77374216
1994/12/1,6.20459348
1995/1/1,6.74948382
1995/2/1,4.21606735
1995/3/1,4.94934946
1995/4/1,4.8230449
1995/5/1,5.19475419
1995/6/1,5.17078711
1995/7/1,5.25674157
1995/8/1,5.85527729
1995/9/1,5.49072901
1995/10/1,6.11529323
1995/11/1,6.08847284
1995/12/1,7.41659792
1996/1/1,8.32945212
1996/2/1,5.06979585
1996/3/1,5.26255667
1996/4/1,5.59712628
1996/5/1,6.110296
1996/6/1,5.68916084
1996/7/1,6.48684933
1996/8/1,6.30056933
1996/9/1,6.46747574
1996/10/1,6.82862939
1996/11/1,6.64907826
1996/12/1,8.60693721
1997/1/1,8.52447101
1997/2/1,5.27791837
1997/3/1,5.71430345
1997/4/1,6.21452908
1997/5/1,6.41192919
1997/6/1,6.66771564
1997/7/1,7.05083102
1997/8/1,6.70491861
1997/9/1,7.25098761
1997/10/1,7.81973318
1997/11/1,7.39810106
1997/12/1,10.09623339
1998/1/1,8.79851303
1998/2/1,5.91826076
1998/3/1,6.53449298
1998/4/1,6.67573561
1998/5/1,7.06420058
1998/6/1,7.38338118
1998/7/1,7.81349587
1998/8/1,7.43189221
1998/9/1,8.27511722
1998/10/1,8.26044138
1998/11/1,8.59615575
1998/12/1,10.55893902
1999/1/1,10.3914156
1999/2/1,6.42153456
1999/3/1,8.06261937
1999/4/1,7.2977391
1999/5/1,7.93691594
1999/6/1,8.16532298
1999/7/1,8.71742046
1999/8/1,9.07096378
1999/9/1,9.17711337
1999/10/1,9.25188674
1999/11/1,9.93313643
1999/12/1,11.53297428
2000/1/1,12.51146235
2000/2/1,7.45719853
2000/3/1,8.59119084
2000/4/1,8.47400037
2000/5/1,9.3868026
2000/6/1,9.56039945
2000/7/1,10.8342948
2000/8/1,10.64375083
2000/9/1,9.90816186
2000/10/1,11.7100413
2000/11/1,11.34015074
2000/12/1,12.07913184
2001/1/1,14.49758109
2001/2/1,8.04927477
2001/3/1,10.31289116
2001/4/1,9.75335821
2001/5/1,10.85038183
2001/6/1,9.96171916
2001/7/1,11.44360144
2001/8/1,11.65923889
2001/9/1,10.64705979
2001/10/1,12.65213444
2001/11/1,13.67446631
2001/12/1,12.96573509
2002/1/1,16.30026927
2002/2/1,9.05348536
2002/3/1,10.00244879
2002/4/1,10.78875007
2002/5/1,12.10670515
2002/6/1,10.95410107
2002/7/1,12.84456587
2002/8/1,12.19649985
2002/9/1,12.85474787
2002/10/1,13.54200436
2002/11/1,13.28764
2002/12/1,15.13491784
2003/1/1,16.82834968
2003/2/1,9.80021461
2003/3/1,10.81699371
2003/4/1,10.65422256
2003/5/1,12.51232269
2003/6/1,12.16120969
2003/7/1,12.9980462
2003/8/1,12.51727568
2003/9/1,13.26865761
2003/10/1,14.73362169
2003/11/1,13.66938174
2003/12/1,16.50396561
2004/1/1,18.00376795
2004/2/1,11.93802987
2004/3/1,12.9979001
2004/4/1,12.88264507
2004/5/1,13.94344681
2004/6/1,13.9894722
2004/7/1,15.33909742
2004/8/1,15.37076394
2004/9/1,16.142005
2004/10/1,16.685754
2004/11/1,17.636728
2004/12/1,18.869325
2005/1/1,20.778723
2005/2/1,12.154552
2005/3/1,13.402392
2005/4/1,14.459239
2005/5/1,14.795102
2005/6/1,15.705248
2005/7/1,15.82955
2005/8/1,17.554701
2005/9/1,18.100864
2005/10/1,17.496668
2005/11/1,19.347265
2005/12/1,20.031291
2006/1/1,23.486694
2006/2/1,12.536987
2006/3/1,15.467018
2006/4/1,14.233539
2006/5/1,17.783058
2006/6/1,16.291602
2006/7/1,16.980282
2006/8/1,18.612189
2006/9/1,16.623343
2006/10/1,21.430241
2006/11/1,23.575517
2006/12/1,23.334206
2007/1/1,28.038383
2007/2/1,16.763869
2007/3/1,19.792754
2007/4/1,16.427305
2007/5/1,21.000742
2007/6/1,20.681002
2007/7/1,21.83489
2007/8/1,23.93020353
2007/9/1,22.93035694
2007/10/1,23.26333992
2007/11/1,25.25003022
2007/12/1,25.80609
2008/1/1,29.665356
2008/2/1,21.654285
2008/3/1,18.264945
2008/4/1,23.107677
2008/5/1,22.91251
2008/6/1,19.43174
